Control,length_mu
sd10_10x1a1_roothairs.csv,146.7057953
sd10_10x2a1_roothairs.csv,95.6897558
sd10_10x3a1_roothairs.csv,54.97300909
sd11_10x1a1_roothairs.csv,71.77287674
sd11_10x1a2_roothairs.csv,96.53671265
sd11_10x2a1_roothairs.csv,128.6839981
sd11_10x2a2_roothairs.csv,136.0483551
sd11_10x2a3_roothairs.csv,136.0825525
sd11_10x2a4_roothairs.csv,161.8116791
sd11_10x3a1_roothairs.csv,96.52758701
sd11_10x3a2_roothairs.csv,212.8437448
sd11_10x3a3_roothairs.csv,98.93411713
sd11_10x3a4_roothairs.csv,84.0428795
sd11_10x4a1_roothairs.csv,110.3046319
sd11_10x4a2_roothairs.csv,132.8161951
sd11_10x5a1_roothairs.csv,67.28576709
sd11_10x5a2_roothairs.csv,61.55723225
sd11_10x5a3_roothairs.csv,64.82167916
sd11_10x5a4_roothairs.csv,37.89040606
sd11_10x5a5_roothairs.csv,61.80017471
sd11_10x6a1_roothairs.csv,67.89421823
sd11_10x6a2_roothairs.csv,83.1756519
sd11_10x6a3_roothairs.csv,86.90351257
sd11_10xs11_roothairs.csv,77.48896943
sd11_10xs12_roothairs.csv,64.23326111
sd11_10xs13_roothairs.csv,82.61700628
sd12_10x1a1_roothairs.csv,118.9793625
sd12_10x1a2_roothairs.csv,153.993576
sd12_10x1a3_roothairs.csv,110.8495117
sd12_10x1a4_roothairs.csv,72.4120032
sd12_10x1a5_roothairs.csv,126.5647522
sd12_10x1a6_roothairs.csv,121.512111
sd12_10x2a1_roothairs.csv,145.3796878
sd12_10x2a2_roothairs.csv,111.0875691
sd12_10x2a4_roothairs.csv,103.1679993
sd12_10x2a5_roothairs.csv,173.9396242
sd12_10x3a1_roothairs.csv,141.5082703
sd12_10x3a2_roothairs.csv,183.0331449
sd12_10x3a3_roothairs.csv,215.5475769
sd12_10x3a4_roothairs.csv,149.5600433
sd12_10x3a5_roothairs.csv,154.540298
sd12_10x3a6_roothairs.csv,181.0058988
sd12_10x3a7_roothairs.csv,167.6289215
sd12_10x3a9_roothairs.csv,165.2687943
sd12_10x4a1_roothairs.csv,167.2758508
sd12_10x4a2_roothairs.csv,151.8245239
sd12_10x4a3_roothairs.csv,94.35691833
sd12_10x5a1_roothairs.csv,232.6579895
sd12_10x5a3_roothairs.csv,134.7975395
sd12_10x5a4_roothairs.csv,88.40803528
sd12_10x5a5_roothairs.csv,239.7800751
sd12_10x6a1_roothairs.csv,196.9411141
sd12_10x6a2_roothairs.csv,186.3483882
sd12_10x6a3_roothairs.csv,188.9472012
sd12_10x6a4_roothairs.csv,227.2233563
sd13_10x1a1_roothairs.csv,62.31483848
sd13_10x2a1_roothairs.csv,90.0811985
sd13_10x3a1_roothairs.csv,77.2155265
sd13_10x3a2_roothairs.csv,63.84229966
sd13_10x3a3_roothairs.csv,72.24326783
sd13_10x4a1_roothairs.csv,83.43751679
sd13_10x4a2_roothairs.csv,104.6661906
sd13_10x4a3_roothairs.csv,78.71242939
sd13_10x4a4_roothairs.csv,78.24447476
sd13_10x5a1_roothairs.csv,107.9515074
sd13_10x6a1_roothairs.csv,127.0929621
sd13_10x6a2_roothairs.csv,86.9841519
sd13_10x6a3_roothairs.csv,81.05761337
sd13_10x6a4_roothairs.csv,76.54608917
sd13_10x7a1_roothairs.csv,99.29071836
sd14_10x1a1_roothairs.csv,122.2749975
sd14_10x2a1_roothairs.csv,75.681353
sd14_10x2a2_roothairs.csv,92.99485016
sd14_10x2a3_roothairs.csv,71.98354855
sd14_10x2a4_roothairs.csv,56.31804276
sd14_10x2a5_roothairs.csv,94.94890716
sd14_10x2a6_roothairs.csv,79.76658249
sd14_10x3a10_roothairs.csv,106.072525
sd14_10x3a11_roothairs.csv,78.30949266
sd14_10x3a12_roothairs.csv,140.8208347
sd14_10x3a13_roothairs.csv,77.70505524
sd14_10x3a14_roothairs.csv,113.6419999
sd14_10x3a15_roothairs.csv,80.35832152
sd14_10x3a16_roothairs.csv,78.22255707
sd14_10x3a17_roothairs.csv,105.5923037
sd14_10x3a18_roothairs.csv,73.70001984
sd14_10x3a1_roothairs.csv,117.5717669
sd14_10x3a2_roothairs.csv,101.1059601
sd14_10x3a3_roothairs.csv,141.1172386
sd14_10x3a4_roothairs.csv,100.8434296
sd14_10x3a5_roothairs.csv,93.14747028
sd14_10x3a6_roothairs.csv,89.67681885
sd14_10x3a7_roothairs.csv,100.1443329
sd14_10x3a8_roothairs.csv,114.872929
sd14_10x3a9_roothairs.csv,66.33701324
sd14_10x4a1_roothairs.csv,134.5250803
sd14_10x4a2_roothairs.csv,101.3479276
sd14_10x4a3_roothairs.csv,133.2011435
sd14_10x4a4_roothairs.csv,170.9992043
