seed,length_mu
sd10_10x1a1_roothairs.csv,124.6214752
sd10_10x1a2_roothairs.csv,133.8769073
sd10_10x1a3_roothairs.csv,131.4820709
sd10_10x1a4_roothairs.csv,174.175415
sd10_10x2a1_roothairs.csv,139.1559884
sd10_10x3a1_roothairs.csv,121.6565552
sd10_10x3a2_roothairs.csv,105.3137446
sd10_10x3a4_roothairs.csv,129.1921387
sd10_10x3a5_roothairs.csv,111.9128113
sd10_10x3a6_roothairs.csv,175.9504663
sd10_10x4a10_roothairs.csv,110.0310476
sd10_10x4a11_roothairs.csv,179.1397705
sd10_10x4a1_roothairs.csv,143.1810502
sd10_10x4a2_roothairs.csv,119.4940567
sd10_10x4a3_roothairs.csv,152.9571098
sd10_10x4a4_roothairs.csv,104.6294816
sd10_10x4a5_roothairs.csv,177.4267883
sd10_10x4a6_roothairs.csv,127.9499503
sd10_10x4a7_roothairs.csv,65.88367374
sd10_10x4a8_roothairs.csv,183.9804382
sd10_10x4a9_roothairs.csv,109.6723093
sd10_10x5a1_roothairs.csv,116.8255994
sd10_10x5a2_roothairs.csv,66.16042506
sd10_10x5a3_roothairs.csv,116.7888881
sd10_10x5a4_roothairs.csv,109.2837937
sd10_10x5a5_roothairs.csv,157.7923126
sd10_10xs1a1_roothairs.csv,119.7800369
sd10_10xs1a2_roothairs.csv,111.38499
sd10_10xs2a1_roothairs.csv,132.0684555
sd10_10xs2a2_roothairs.csv,111.5913712
sd10_10xs3a1_roothairs.csv,95.818927
sd11_10x1a1_roothairs.csv,176.0866089
sd11_10x1a2_roothairs.csv,161.049469
sd11_10x1a3_roothairs.csv,149.0526032
sd11_10x1a4_roothairs.csv,152.5929728
sd11_10x1a5_roothairs.csv,145.6409385
sd11_10x1a6_roothairs.csv,160.7212355
sd11_10x2a10_roothairs.csv,51.8045899
sd11_10x2a11_roothairs.csv,110.3599022
sd11_10x2a12_roothairs.csv,105.7039585
sd11_10x2a13_roothairs.csv,164.7030029
sd11_10x2a14_roothairs.csv,158.2797226
sd11_10x2a15_roothairs.csv,87.46528625
sd11_10x2a1_roothairs.csv,139.8188277
sd11_10x2a2_roothairs.csv,167.4797516
sd11_10x2a3_roothairs.csv,145.2478107
sd11_10x2a4_roothairs.csv,197.8996155
sd11_10x2a5_roothairs.csv,143.2490564
sd11_10x2a6_roothairs.csv,169.3717041
sd11_10x2a7_roothairs.csv,164.6392907
sd11_10x2a8_roothairs.csv,131.6983185
sd11_10x2a9_roothairs.csv,87.05110097
sd11_10x3a10_roothairs.csv,121.7279587
sd11_10x3a11_roothairs.csv,110.6567841
sd11_10x3a12_roothairs.csv,147.6350006
sd11_10x3a13_roothairs.csv,118.5524902
