seed,length_mu
sd10_10x1a11_roothairs.csv,196.9647369
sd10_10x1a1_roothairs.csv,318.4050447
sd10_10x1a2_roothairs.csv,284.2437244
sd10_10x1a3_roothairs.csv,304.5162904
sd10_10x1a4_roothairs.csv,279.3928913
sd10_10x1a5_roothairs.csv,234.7890793
sd10_10x1a6_roothairs.csv,235.3580322
sd10_10x1a7_roothairs.csv,241.9331727
sd10_10x1a8_roothairs.csv,280.9083252
sd10_10x1a9_roothairs.csv,331.9077947
sd10_10x2a1_roothairs.csv,255.2075173
sd10_10x2a2_roothairs.csv,312.8417572
sd10_10x2a3_roothairs.csv,185.4124756
sd10_10x2a4_roothairs.csv,285.6591187
sd10_10x2a5_roothairs.csv,266.992981
sd10_10x2a6_roothairs.csv,218.970121
sd10_10x2a7_roothairs.csv,280.7821238
sd10_10x2a8_roothairs.csv,293.0646074
sd10_10x3a1_roothairs.csv,250.8988647
sd10_10x3a2_roothairs.csv,191.3334961
sd10_10x3a3_roothairs.csv,263.1995789
sd10_10x3a4_roothairs.csv,244.3392639
sd10_10x3a5_roothairs.csv,155.5951699
sd10_10x3a6_roothairs.csv,162.9125366
sd10_10x4a1_roothairs.csv,269.5284424
sd10_10x4a2_roothairs.csv,224.4240875
sd10_10x4a3_roothairs.csv,249.1448761
sd10_10x4a4_roothairs.csv,228.1092224
sd10_10x4a5_roothairs.csv,192.924118
sd10_10x4a6_roothairs.csv,283.8415422
sd10_10x5a1_roothairs.csv,345.6567383
sd10_10x5a2_roothairs.csv,272.7781041
sd10_10x5a3_roothairs.csv,239.0349274
sd10_10x5a4_roothairs.csv,176.8225403
sd10_10x5a5_roothairs.csv,252.4158478
sd10_10x5a6_roothairs.csv,258.0170593
sd10_10x5a7_roothairs.csv,232.3520508
sd10_10x5a8_roothairs.csv,279.6148071
sd10_10x5a9_roothairs.csv,198.0121873
sd10_10x6a1_roothairs.csv,262.5971527
sd10_10x6a2_roothairs.csv,222.8647156
sd10_10x6a3_roothairs.csv,269.4855716
sd10_10x6a4_roothairs.csv,197.3861084
sd10_10x6a5_roothairs.csv,389.7371216
sd10_10x6a6_roothairs.csv,273.871998
sd10_10x6a7_roothairs.csv,259.8397827
sd10_10x6a8_roothairs.csv,254.940037
sd10_10x6a9_roothairs.csv,233.849856
sd11_10x1a1_roothairs.csv,111.0925332
sd11_10x1a2_roothairs.csv,120.2343674
sd11_10x1a3_roothairs.csv,127.3077349
sd11_10x1a4_roothairs.csv,101.1451071
sd11_10x1a5_roothairs.csv,164.0093994
sd11_10x1a6_roothairs.csv,114.7821358
sd11_10x1a7_roothairs.csv,164.2210083
sd11_10x1a8_roothairs.csv,157.2228778
sd11_10x3a1_roothairs.csv,109.3761457
sd11_10x3a2_roothairs.csv,173.1463928
sd11_10x3a3_roothairs.csv,104.4302401
sd11_10x3a4_roothairs.csv,133.2325752
sd11_10x3a5_roothairs.csv,138.6031952
sd11_10xs1a10_roothairs.csv,113.0233293
sd11_10xs1a1_roothairs.csv,121.7519684
sd11_10xs1a2_roothairs.csv,114.9231949
sd11_10xs1a3_roothairs.csv,114.457114
sd11_10xs1a4_roothairs.csv,163.3940974
sd11_10xs1a5_roothairs.csv,198.5144344
sd11_10xs1a6_roothairs.csv,120.0491028
sd11_10xs1a7_roothairs.csv,173.3641968
sd11_10xs1a8_roothairs.csv,163.2360229
sd11_10xs1a9_roothairs.csv,142.5959625
sd11_10xs2a1_roothairs.csv,170.3717005
sd11_10xs2a2_roothairs.csv,158.1909287
sd11_10xs2a3_roothairs.csv,196.726149
sd11_10xs2a4_roothairs.csv,228.0791626
sd11_10xs2a5_roothairs.csv,217.171875
sd11_10xs2a6_roothairs.csv,83.97896754
sd11_10xs2a7_roothairs.csv,177.750061
sd11_10xs2a8_roothairs.csv,136.2314705
sd11_10xs2a9_roothairs.csv,148.7192547
sd11_10xs3a2_roothairs.csv,142.1944504
sd11_10xs3a3_roothairs.csv,200.5113328
sd11_10xs3a4_roothairs.csv,129.9126941
sd11_10xs3a5_roothairs.csv,144.2857056
sd11_10xs4a1_roothairs.csv,127.443715
sd11_10xs4a2_roothairs.csv,122.174715
sd11_10xs4a3_roothairs.csv,138.4675041
sd11_10xs4a4_roothairs.csv,119.9656869
sd11_10xs4a5_roothairs.csv,174.1575928
sd11_10xs4a6_roothairs.csv,129.218676
sd11_10xs4a7_roothairs.csv,169.6295166
sd11_10xs4a8_roothairs.csv,132.0095697
sd11_10xs5a1_roothairs.csv,144.5388489
sd11_10xs5a2_roothairs.csv,136.4849993
sd11_10xs5a3_roothairs.csv,87.9297165
sd11_10xs5a4_roothairs.csv,84.54577497
sd11_10xs5a5_roothairs.csv,107.1919421
sd12_10x1a1_roothairs.csv,208.0082703
sd12_10x1a2_roothairs.csv,225.2039642
sd12_10x1a3_roothairs.csv,223.4459442
sd12_10x2a1_roothairs.csv,192.5099872
sd12_10x2a2_roothairs.csv,210.5222015
sd12_10x2a3_roothairs.csv,174.0492531
sd12_10x2a4_roothairs.csv,243.2482147
sd12_10x2a5_roothairs.csv,244.8581848
sd12_10x2a6_roothairs.csv,256.3536316
sd12_10x3a1_roothairs.csv,204.6647621
sd12_10x3a2_roothairs.csv,198.7778625
sd12_10x3a3_roothairs.csv,247.0021645
sd12_10x3a4_roothairs.csv,264.7554932
sd12_10x3a5_roothairs.csv,189.6760258
sd12_10x3a6_roothairs.csv,227.6041457
sd12_10x3a7_roothairs.csv,242.2155141
sd12_10x3a8_roothairs.csv,259.4923248
sd12_10x3a9_roothairs.csv,224.6978583
sd12_10x4a1_roothairs.csv,235.9272156
sd12_10x4a2_roothairs.csv,228.2005229
sd12_10x4a3_roothairs.csv,222.291748
sd12_10x4a4_roothairs.csv,201.4650943
sd12_10x4a5_roothairs.csv,198.3866211
sd12_10x4a6_roothairs.csv,214.204451
sd12_10x4a7_roothairs.csv,230.6733322
sd12_10x4a8_roothairs.csv,240.190148
sd12_10x5a1_roothairs.csv,241.006077
sd12_10x5a3_roothairs.csv,198.0892334
sd12_10x5a4_roothairs.csv,152.2425537
sd12_10x5a5_roothairs.csv,234.9831848
sd12_10x5a6_roothairs.csv,193.0373993
sd12_10x6a1_roothairs.csv,203.9070129
sd12_10x6a2_roothairs.csv,165.6733751
sd12_10x6a3_roothairs.csv,146.494812
sd12_10x6a5_roothairs.csv,160.9511993
sd12_10x7a1_roothairs.csv,284.5362854
sd12_10x7a2_roothairs.csv,163.4236203
sd12_10x7a3_roothairs.csv,160.7717779
sd12_10x7a5_roothairs.csv,164.4800041
sd12_10x7a6_roothairs.csv,223.4974899
sd12_10x7a7_roothairs.csv,204.8382263
sd13_10x2a1_roothairs.csv,100.4524796
sd13_10x2a2_roothairs.csv,122.2936096
sd13_10x2a3_roothairs.csv,152.267347
sd13_10x2a4_roothairs.csv,105.6289829
sd13_10x31_roothairs.csv,134.1376933
sd14_10x5a1_roothairs.csv,159.1964191
sd14_10x5a2_roothairs.csv,290.3899621
sd14_10x5a3_roothairs.csv,132.9899068
sd14_10x5a4_roothairs.csv,81.34210828
sd14_10x5a5_roothairs.csv,241.4878127
sd14_10x81_roothairs.csv,230.5168747
sd14_10x82_roothairs.csv,164.4247543
sd14_10x83_roothairs.csv,221.3297534
sd14_10x84_roothairs.csv,178.0649614
sd14_10x85_roothairs.csv,208.5907745
sd14_10x86_roothairs.csv,158.6691232
sd14_10x87_roothairs.csv,192.3874817
sd14_10x9a1_roothairs.csv,310.5143372
sd14_10xs11a1_roothairs.csv,303.2907279
sd14_10xs11a2_roothairs.csv,237.8886476
sd14_10xs11a3_roothairs.csv,263.8825943
sd14_10xs11a4_roothairs.csv,301.7548523
sd14_10xs1a1_roothairs.csv,396.9285768
sd14_10xs1a2_roothairs.csv,261.3511168
sd14_10xs1a3_roothairs.csv,219.9903143
sd14_10xs1a4_roothairs.csv,317.3974609
sd14_10xs1a5_roothairs.csv,336.1135254
sd14_10xs1a6_roothairs.csv,307.1949711
sd14_10xs1a7_roothairs.csv,281.7348572
sd14_10xs2a1_roothairs.csv,182.6064148
sd14_10xs2a2_roothairs.csv,269.7503052
sd14_10xs2a3_roothairs.csv,299.4396973
sd14_10xs2a4_roothairs.csv,369.0484924
sd14_10xs2a5_roothairs.csv,349.6216431
sd14_10xs2a6_roothairs.csv,144.1443453
sd14_10xs2a7_roothairs.csv,364.587729
sd14_10xs2a8_roothairs.csv,352.7939623
sd14_10xs2a9_roothairs.csv,339.8236694
sd14_10xs3a1_roothairs.csv,342.2673466
sd14_10xs3a2_roothairs.csv,348.80896
sd14_10xs3a3_roothairs.csv,274.0116577
sd14_10xs3a4_roothairs.csv,255.9444948
sd14_10xs3a5_roothairs.csv,336.2376562
sd14_10xs3a6_roothairs.csv,176.8370056
sd14_10xs3a7_roothairs.csv,223.8989258
sd14_10xs3a8_roothairs.csv,196.1721649
sd14_10xs5a1_roothairs.csv,371.9476013
sd14_10xs5a2_roothairs.csv,343.6152954
sd14_10xs5a3_roothairs.csv,252.6402434
sd14_10xs5a4_roothairs.csv,375.6768631
sd14_10xs5a5_roothairs.csv,263.5211602
sd14_10xs5a6_roothairs.csv,319.345446
sd14_10xs5a7_roothairs.csv,234.9466433
sd14_10xs5a8_roothairs.csv,270.3412781
sd14_10xs6a1_roothairs.csv,327.180507
sd14_10xs6a2_roothairs.csv,379.6063843
sd14_10xs6a3_roothairs.csv,288.3355103
sd14_10xs6a4_roothairs.csv,335.5601807
sd14_10xs6a5_roothairs.csv,310.9264221
sd14_10xs6a6_roothairs.csv,272.1551514
sd14_10xs6a7_roothairs.csv,415.3590479
sd14_10xs7a10_roothairs.csv,329.2011209
sd14_10xs7a11_roothairs.csv,275.0599051
sd14_10xs7a12_roothairs.csv,239.6729341
sd14_10xs7a1_roothairs.csv,232.6852417
sd14_10xs7a2_roothairs.csv,314.8021698
sd14_10xs7a3_roothairs.csv,157.156575
sd14_10xs7a4_roothairs.csv,324.9370247
sd14_10xs7a5_roothairs.csv,179.7032166
sd14_10xs7a6_roothairs.csv,314.6054252
sd14_10xs7a7_roothairs.csv,284.6973526
sd14_10xs7a8_roothairs.csv,333.7273734
sd14_10xs7a9_roothairs.csv,210.5582718
sd14_10xs9a1_roothairs.csv,321.5073723
sd14_10xs9a2_roothairs.csv,191.7787262
sd14_10xs9a3_roothairs.csv,298.1807739
sd14_10xs9a4_roothairs.csv,202.7748283
sd14_10xs9a5_roothairs.csv,303.2966309
sd14_10xs9a6_roothairs.csv,269.8759321
sd14_10xs9a7_roothairs.csv,348.62155
sd14_10xs9a8_roothairs.csv,253.4589294
sd15_10x2a1_roothairs.csv,100.7046163
sd15_10x3a1_roothairs.csv,141.35392
sd17_10x1a1_roothairs.csv,183.1571208
sd17_10x1a2_roothairs.csv,132.827713
sd17_10x1a3_roothairs.csv,201.4754378
sd17_10x2a1_roothairs.csv,136.1719605
sd17_10x2a2_roothairs.csv,160.1711121
sd17_10x2a3_roothairs.csv,124.8847383
sd17_10x3a1_roothairs.csv,163.06598
sd17_10x3a2_roothairs.csv,153.6165161
sd17_10x3a3_roothairs.csv,189.0199127
sd17_10x3a4_roothairs.csv,153.4495544
sd17_10x4a1_roothairs.csv,114.989713
sd17_10x4a2_roothairs.csv,154.8127223
sd17_10x4a3_roothairs.csv,139.0541098
sd17_10x5a1_roothairs.csv,131.8093796
sd17_10x5a2_roothairs.csv,161.1686272
sd17_10x5a3_roothairs.csv,110.8046144
sd17_10x5a4_roothairs.csv,146.1567272
sd17_10x5a5_roothairs.csv,113.2219086
sd17_10x61_roothairs.csv,102.461293
sd17_10x62_roothairs.csv,112.8112488
sd17_10x63_roothairs.csv,162.6653138
sd17_10x64_roothairs.csv,142.2171097
sd18_10x1a1_roothairs.csv,132.1624832
sd18_10x1a2_roothairs.csv,203.9133301
sd18_10x1a3_roothairs.csv,161.4591049
sd18_10x1a4_roothairs.csv,208.1473083
sd18_10x1a5_roothairs.csv,173.7241349
sd18_10x1a6_roothairs.csv,223.1691461
sd18_10x1a7_roothairs.csv,152.7262726
sd18_10x1a8_roothairs.csv,180.9128667
sd18_10x2a1_roothairs.csv,189.3148804
sd18_10x2a2_roothairs.csv,202.7033598
sd18_10x2a3_roothairs.csv,193.0836034
sd18_10x2a4_roothairs.csv,206.6924484
sd18_10x3a1_roothairs.csv,96.53759392
sd18_10x3a2_roothairs.csv,193.4837765
sd18_10x3a3_roothairs.csv,188.0892944
sd18_10x4a1_roothairs.csv,174.3341474
sd18_10x4a2_roothairs.csv,200.3905945
sd18_10x4a3_roothairs.csv,191.5748206
sd18_10x4a4_roothairs.csv,203.2487671
sd18_10x5a1_roothairs.csv,168.3790741
